heuristic,network,ctg_id,trace,trace_probability,num_tasks_ctg,num_tasks_trace,ctg_overlapping_makespan,trace_ctg_makespan,trace_standalone_makespan,trace_gap,trace_ratio_standalone_over_ctg
HEFT,3node_hetero,3,Trace: 3-8-6-30,0.06945,32,14,3.7028,3.5288,3.3248,0.204,0.9422
HEFT,3node_hetero,3,Trace: 3-8-6-29,0.164054,32,14,3.7028,3.6464,3.3248,0.3217,0.9118
HEFT,3node_hetero,3,Trace: 3-8-5-11,0.140158,32,12,3.7028,3.584,3.582,0.002,0.9994
HEFT,3node_hetero,3,Trace: 3-8-5-12,0.171752,32,12,3.7028,3.5288,3.018,0.5108,0.8552
HEFT,3node_hetero,3,Trace: 3-7-6-30,0.053816,32,14,3.7028,3.6789,3.4844,0.1945,0.9471
HEFT,3node_hetero,3,Trace: 3-7-6-29,0.127124,32,14,3.7028,3.6464,3.4844,0.1621,0.9556
HEFT,3node_hetero,3,Trace: 3-7-5-11,0.108608,32,12,3.7028,3.7201,3.6648,0.0553,0.9851
HEFT,3node_hetero,3,Trace: 3-7-5-12,0.133089,32,12,3.7028,3.3486,3.018,0.3306,0.9013
HEFT,3node_hetero,3,Trace: 4-6-19-22-30,0.000699,32,15,3.7028,3.4544,3.2063,0.248,0.9282
HEFT,3node_hetero,3,Trace: 4-6-19-22-29,0.001652,32,15,3.7028,3.9508,2.9582,0.9926,0.7488
HEFT,3node_hetero,3,Trace: 4-6-19-21-30,0.001478,32,15,3.7028,3.4544,3.3238,0.1306,0.9622
HEFT,3node_hetero,3,Trace: 4-6-19-21-29,0.00349,32,15,3.7028,3.9508,3.3238,0.627,0.8413
HEFT,3node_hetero,3,Trace: 4-6-20-22-30,0.000608,32,15,3.7028,3.4544,3.7414,-0.287,1.0831
HEFT,3node_hetero,3,Trace: 4-6-20-22-29,0.001435,32,15,3.7028,3.9508,3.2615,0.6893,0.8255
HEFT,3node_hetero,3,Trace: 4-6-20-21-30,0.001284,32,15,3.7028,3.4544,3.7414,-0.287,1.0831
HEFT,3node_hetero,3,Trace: 4-6-20-21-29,0.003033,32,15,3.7028,3.9508,3.3238,0.627,0.8413
HEFT,3node_hetero,3,Trace: 4-5-11-19-22,0.001411,32,13,3.7028,3.7263,3.4783,0.248,0.9334
HEFT,3node_hetero,3,Trace: 4-5-11-19-21,0.002982,32,13,3.7028,3.7263,3.4905,0.2357,0.9367
HEFT,3node_hetero,3,Trace: 4-5-11-20-22,0.001226,32,13,3.7028,3.7263,3.4783,0.248,0.9334
HEFT,3node_hetero,3,Trace: 4-5-11-20-21,0.002591,32,13,3.7028,3.7263,3.4905,0.2357,0.9367
HEFT,3node_hetero,3,Trace: 4-5-12-19-22,0.001729,32,13,3.7028,3.3223,3.6052,-0.2828,1.0851
HEFT,3node_hetero,3,Trace: 4-5-12-19-21,0.003654,32,13,3.7028,3.3223,3.6052,-0.2828,1.0851
HEFT,3node_hetero,3,Trace: 4-5-12-20-22,0.001503,32,13,3.7028,3.3223,3.0743,0.248,0.9253
HEFT,3node_hetero,3,Trace: 4-5-12-20-21,0.003175,32,13,3.7028,3.3223,3.1353,0.187,0.9437
HEFT,3node_hetero,4,Trace: 1-3,0.060442,8,4,0.9273,0.7223,0.7223,0.0,1.0
HEFT,3node_hetero,4,Trace: 1-4,0.08171,8,4,0.9273,0.9273,0.9273,0.0,1.0
HEFT,3node_hetero,4,Trace: 2-6,0.554071,8,4,0.9273,0.7641,0.7641,0.0,1.0
HEFT,3node_hetero,4,Trace: 2-5,0.303777,8,4,0.9273,0.6837,0.6837,0.0,1.0
HEFT,3node_hetero,5,Trace: 3,0.61316,8,7,2.3604,2.3604,2.3604,0.0,1.0
HEFT,3node_hetero,5,Trace: 4,0.38684,8,7,2.3604,2.3604,2.3604,0.0,1.0
HEFT,3node_hetero,6,Trace: 3-17-15-13-24,0.028,32,19,4.044,5.4235,4.044,1.3795,0.7456
HEFT,3node_hetero,6,Trace: 3-17-15-13-23,0.056689,32,19,4.044,5.0836,3.609,1.4746,0.7099
HEFT,3node_hetero,6,Trace: 3-17-15-14-30-24,0.001822,32,18,4.044,5.4235,3.3384,2.0851,0.6156
HEFT,3node_hetero,6,Trace: 3-17-15-14-30-23,0.00369,32,18,4.044,5.0836,3.3384,1.7451,0.6567
HEFT,3node_hetero,6,Trace: 3-17-15-14-29-24,0.012859,32,18,4.044,5.4235,3.4676,1.9559,0.6394
HEFT,3node_hetero,6,Trace: 3-17-15-14-29-23,0.026035,32,18,4.044,5.0836,3.4676,1.6159,0.6821
HEFT,3node_hetero,6,Trace: 3-17-16-13-24,0.033037,32,19,4.044,5.4235,3.5611,1.8624,0.6566
HEFT,3node_hetero,6,Trace: 3-17-16-13-23,0.066887,32,19,4.044,5.0836,3.4672,1.6163,0.682
HEFT,3node_hetero,6,Trace: 3-17-16-14-30-24,0.00215,32,18,4.044,5.4235,3.6772,1.7463,0.678
HEFT,3node_hetero,6,Trace: 3-17-16-14-30-23,0.004354,32,18,4.044,5.0836,3.549,1.5345,0.6981
HEFT,3node_hetero,6,Trace: 3-17-16-14-29-24,0.015173,32,18,4.044,5.4235,3.5459,1.8776,0.6538
HEFT,3node_hetero,6,Trace: 3-17-16-14-29-23,0.030719,32,18,4.044,5.0836,3.5459,1.5376,0.6975
HEFT,3node_hetero,6,Trace: 3-18-15-13-24,0.068286,32,19,4.044,5.4235,4.044,1.3795,0.7456
HEFT,3node_hetero,6,Trace: 3-18-15-13-23,0.138256,32,19,4.044,5.0836,3.6928,1.3908,0.7264
HEFT,3node_hetero,6,Trace: 3-18-15-14-30-24,0.004445,32,18,4.044,5.4235,3.4719,1.9516,0.6402
HEFT,3node_hetero,6,Trace: 3-18-15-14-30-23,0.008999,32,18,4.044,5.0836,3.4719,1.6117,0.683
HEFT,3node_hetero,6,Trace: 3-18-15-14-29-24,0.031362,32,18,4.044,5.4235,3.5753,1.8482,0.6592
HEFT,3node_hetero,6,Trace: 3-18-15-14-29-23,0.063496,32,18,4.044,5.0836,3.4715,1.612,0.6829
HEFT,3node_hetero,6,Trace: 3-18-16-13-24,0.080571,32,19,4.044,5.4235,4.4203,1.0032,0.815
HEFT,3node_hetero,6,Trace: 3-18-16-13-23,0.163128,32,19,4.044,5.0836,3.8983,1.1852,0.7669
HEFT,3node_hetero,6,Trace: 3-18-16-14-30-24,0.005244,32,18,4.044,5.4235,3.8856,1.5379,0.7164
HEFT,3node_hetero,6,Trace: 3-18-16-14-30-23,0.010618,32,18,4.044,5.0836,3.4307,1.6528,0.6749
HEFT,3node_hetero,6,Trace: 3-18-16-14-29-24,0.037003,32,18,4.044,5.4235,3.8856,1.5379,0.7164
HEFT,3node_hetero,6,Trace: 3-18-16-14-29-23,0.074919,32,18,4.044,5.0836,3.3384,1.7451,0.6567
HEFT,3node_hetero,6,Trace: 4-13-24,0.006997,32,21,4.044,4.6769,3.875,0.8019,0.8285
HEFT,3node_hetero,6,Trace: 4-13-23,0.014166,32,21,4.044,4.3369,3.7707,0.5662,0.8694
HEFT,3node_hetero,6,Trace: 4-14-30-24,0.000455,32,20,4.044,4.6769,3.4751,1.2018,0.743
HEFT,3node_hetero,6,Trace: 4-14-30-23,0.000922,32,20,4.044,4.3369,3.3636,0.9733,0.7756
HEFT,3node_hetero,6,Trace: 4-14-29-24,0.003213,32,20,4.044,4.6769,3.4751,1.2018,0.743
HEFT,3node_hetero,6,Trace: 4-14-29-23,0.006506,32,20,4.044,4.3369,3.3636,0.9733,0.7756
HEFT,3node_hetero,7,Trace: 1-3,0.005154,8,4,1.2678,1.2678,1.2678,0.0,1.0
HEFT,3node_hetero,7,Trace: 1-4,0.007584,8,4,1.2678,1.0482,1.0482,0.0,1.0
HEFT,3node_hetero,7,Trace: 2-6,0.618336,8,4,1.2678,1.122,1.122,0.0,1.0
HEFT,3node_hetero,7,Trace: 2-5,0.368926,8,4,1.2678,1.0981,1.0981,0.0,1.0
HEFT,3node_hetero,8,Trace: 3,0.299753,8,7,1.1809,1.1809,1.1809,-0.0,1.0
HEFT,3node_hetero,8,Trace: 4,0.700247,8,7,1.1809,1.1294,1.1294,0.0,1.0
