experiment_num,scheduler_name,mode,n,duplicated_tasks,makespan
12,heft,top-n,3,"0,1,2",5.122649007276979
12,heft,top-n,4,"0,1,2,4",5.122649007276979
12,heft,top-n,5,"0,1,2,4,5",5.122649007276979
12,heft,bottom-n,0,,4.096641302207378
12,heft,bottom-n,1,7,4.542432654654311
12,heft,bottom-n,2,"7,3",4.542432654654311
12,heft,bottom-n,3,"7,3,6",4.823882403398547
12,heft,bottom-n,4,"7,3,6,5",4.823882403398547
12,heft,bottom-n,5,"7,3,6,5,4",5.380073086292591
12,cpop,top-n,0,,4.909478040293818
12,cpop,top-n,1,0,4.909478040293818
12,cpop,top-n,2,"0,1",4.2264218117704235
12,cpop,top-n,3,"0,1,2",4.866167452553706
12,cpop,top-n,4,"0,1,2,4",4.584741859927772
12,cpop,top-n,5,"0,1,2,4,5",4.640817313454501
12,cpop,bottom-n,0,,4.909478040293818
12,cpop,bottom-n,1,7,4.915052861327719
12,cpop,bottom-n,2,"7,3",4.909478040293818
12,cpop,bottom-n,3,"7,3,6",4.909478040293818
12,cpop,bottom-n,4,"7,3,6,5",4.909478040293818
12,cpop,bottom-n,5,"7,3,6,5,4",4.909478040293818
13,heft,top-n,0,,4.531797174037113
13,heft,top-n,1,0,3.9587764405485837
13,heft,top-n,2,"0,6",3.9969841655359835
13,heft,top-n,3,"0,6,1",3.6330977272173155
13,heft,top-n,4,"0,6,1,2",4.153934439981217
13,heft,top-n,5,"0,6,1,2,3",4.264300673955484
13,heft,bottom-n,0,,4.531797174037113
13,heft,bottom-n,1,7,5.59480812451286
13,heft,bottom-n,2,"7,4",5.59480812451286
13,heft,bottom-n,3,"7,4,5",5.59480812451286
13,heft,bottom-n,4,"7,4,5,3",5.756643368258193
13,heft,bottom-n,5,"7,4,5,3,2",5.756643368258193
13,cpop,top-n,0,,4.531797174037113
13,cpop,top-n,1,0,4.531797174037113
13,cpop,top-n,2,"0,6",4.531797174037113
13,cpop,top-n,3,"0,6,1",4.531797174037113
13,cpop,top-n,4,"0,6,1,2",4.682837295578709
13,cpop,top-n,5,"0,6,1,2,3",5.4768221319003505
13,cpop,bottom-n,0,,4.531797174037113
13,cpop,bottom-n,1,7,5.59480812451286
13,cpop,bottom-n,2,"7,4",5.59480812451286
13,cpop,bottom-n,3,"7,4,5",5.59480812451286
13,cpop,bottom-n,4,"7,4,5,3",5.756643368258193
13,cpop,bottom-n,5,"7,4,5,3,2",5.756643368258193
14,heft,top-n,0,,4.5550614297055025
14,heft,top-n,1,0,4.077795768117082
14,heft,top-n,2,"0,2",4.5875397988275886
14,heft,top-n,3,"0,2,3",5.014958519275789
14,heft,top-n,4,"0,2,3,4",5.014958519275789
14,heft,top-n,5,"0,2,3,4,1",4.982400984347432
14,heft,bottom-n,0,,4.5550614297055025
14,heft,bottom-n,1,7,5.152735428012629
14,heft,bottom-n,2,"7,6",4.799483505239096
14,heft,bottom-n,3,"7,6,5",4.799483505239096
14,heft,bottom-n,4,"7,6,5,1",4.972277814579773
14,heft,bottom-n,5,"7,6,5,1,4",4.972277814579773
14,cpop,top-n,0,,4.573103395523123
14,cpop,top-n,1,0,4.573103395523123
14,cpop,top-n,2,"0,2",4.573103395523123
14,cpop,top-n,3,"0,2,3",5.165501589777782
14,cpop,top-n,4,"0,2,3,4",5.165501589777782
14,cpop,top-n,5,"0,2,3,4,1",5.342168842737982
14,cpop,bottom-n,0,,4.573103395523123
14,cpop,bottom-n,1,7,4.875562528741117
14,cpop,bottom-n,2,"7,6",4.994048811408222
14,cpop,bottom-n,3,"7,6,5",4.994048811408222
14,cpop,bottom-n,4,"7,6,5,1",6.33273515319273
14,cpop,bottom-n,5,"7,6,5,1,4",6.33273515319273
15,heft,top-n,0,,4.6378819504414635
15,heft,top-n,1,0,3.7187366533197963
15,heft,top-n,2,"0,3",4.175468555332907
15,heft,top-n,3,"0,3,4",3.7130574051543315
15,heft,top-n,4,"0,3,4,1",4.629975853028329
15,heft,top-n,5,"0,3,4,1,6",4.629975853028329
15,heft,bottom-n,0,,4.6378819504414635
15,heft,bottom-n,1,7,4.926395116041553
15,heft,bottom-n,2,"7,5",4.926395116041553
15,heft,bottom-n,3,"7,5,2",4.819710395304499
15,heft,bottom-n,4,"7,5,2,6",4.819710395304499
15,heft,bottom-n,5,"7,5,2,6,1",4.819710395304499
15,cpop,top-n,0,,4.468323047962623
15,cpop,top-n,1,0,4.468323047962623
15,cpop,top-n,2,"0,3",4.66370371393377
15,cpop,top-n,3,"0,3,4",4.999740478023247
15,cpop,top-n,4,"0,3,4,1",5.2027776039454565
15,cpop,top-n,5,"0,3,4,1,6",4.732802953823221
15,cpop,bottom-n,0,,4.468323047962623
15,cpop,bottom-n,1,7,4.66370371393377
15,cpop,bottom-n,2,"7,5",4.536853841413177
15,cpop,bottom-n,3,"7,5,2",4.812397300560951
15,cpop,bottom-n,4,"7,5,2,6",5.060247354522942
15,cpop,bottom-n,5,"7,5,2,6,1",4.926395117831139
16,heft,top-n,0,,4.953686806457586
16,heft,top-n,1,0,4.953686806457586
16,heft,top-n,2,"0,4",4.953686806457586
16,heft,top-n,3,"0,4,1",5.395139288154005
16,heft,top-n,4,"0,4,1,2",4.574257350831237
16,heft,top-n,5,"0,4,1,2,3",4.574257350831237
16,heft,bottom-n,0,,4.953686806457586
16,heft,bottom-n,1,7,5.524121720666904
16,heft,bottom-n,2,"7,5",5.892531990251815
16,heft,bottom-n,3,"7,5,6",5.961208862058364
16,heft,bottom-n,4,"7,5,6,3",5.961208862058364
16,heft,bottom-n,5,"7,5,6,3,2",6.596608164345501
16,cpop,top-n,0,,4.953686806457586
16,cpop,top-n,1,0,4.953686806457586
16,cpop,top-n,2,"0,4",4.953686806457586
16,cpop,top-n,3,"0,4,1",4.953686806457586
16,cpop,top-n,4,"0,4,1,2",4.953686806457586
16,cpop,top-n,5,"0,4,1,2,3",4.953686806457586
16,cpop,bottom-n,0,,4.953686806457586
16,cpop,bottom-n,1,7,5.524121720666904
