scheduler_name,experiment_num,dag_type,num_tasks,ccr,levels,branching_factor,num_processors,mode,n,task_name,task_score,duplicated_tasks,target_benefit,dup_factor,makespan,baseline_makespan,makespan_ratio,task_cost,incoming_comm,outgoing_comm,in_out_ratio,out_in_ratio,num_children,num_parents
heft,0,branching,122,0.1,5,3,8,bottom-n,1,3,0.45237821674056666,3,0.020975913882593122,2,12.237409097357805,12.237409097357805,1.0,0.21286240552286037,0.7692490805435808,1.2367717794279176,0.621981430478148,1.6077650408811246,3,1
heft,0,branching,122,0.1,5,3,8,bottom-n,2,48,0.5613477789869673,"3,48",0.004337508861722128,2,12.237409097357805,12.237409097357805,1.0,0.10472604181803402,0.6267360016063657,0.1427888041227647,4.389251702588114,0.2278292674376254,1,1
heft,0,branching,122,0.1,5,3,8,bottom-n,3,0,0.7638058361758122,"3,48,0",0.1945034276337318,4,12.234672142672208,12.237409097357805,0.9997763452489148,0.43749291228175957,0.0,2.3316231562180962,0.0,inf,3,0
cpop,0,branching,122,0.1,5,3,8,top-n,1,0,0.7462606609039928,0,0.1374417676888139,3,12.468811295570859,12.468811295570859,1.0,0.43749291228175957,0.0,2.3316231562180962,0.0,inf,3,0
cpop,0,branching,122,0.1,5,3,8,top-n,2,3,0.4512193014745394,"0,3",0.020975913882593122,3,12.468811295570859,12.468811295570859,1.0,0.21286240552286037,0.7692490805435808,1.2367717794279176,0.621981430478148,1.6077650408811246,3,1
cpop,0,branching,122,0.1,5,3,8,bottom-n,1,3,0.4512193014745394,3,0.020975913882593122,2,12.468811295570859,12.468811295570859,1.0,0.21286240552286037,0.7692490805435808,1.2367717794279176,0.621981430478148,1.6077650408811246,3,1
cpop,0,branching,122,0.1,5,3,8,bottom-n,2,0,0.7638058361602849,"3,0",0.1945034276337318,4,12.468811295570859,12.468811295570859,1.0,0.43749291228175957,0.0,2.3316231562180962,0.0,inf,3,0
heft,0,branching,342,0.1,5,4,8,top-n,1,0,0.7629098721140655,0,0.2526637309986042,4,31.739980151025254,31.81649945997736,0.997594980269644,0.1070995631286015,0.0,2.399989819446966,0.0,inf,4,0
heft,0,branching,342,0.1,5,4,8,bottom-n,1,0,0.7629098721140655,0,0.2526637309986042,4,31.739980151025254,31.81649945997736,0.997594980269644,0.1070995631286015,0.0,2.399989819446966,0.0,inf,4,0
cpop,0,branching,342,0.1,5,4,8,top-n,1,0,0.7629098720896891,0,0.2526637309986042,4,32.310098055749364,32.310098055749364,1.0,0.1070995631286015,0.0,2.399989819446966,0.0,inf,4,0
cpop,0,branching,342,0.1,5,4,8,top-n,2,8,0.47573599765609775,"0,8",0.019753101968526643,4,32.310098055749364,32.310098055749364,1.0,0.14275664694304827,0.7461317768117323,2.046428039839111,0.3646020100811328,2.7427166399260274,4,1
cpop,0,branching,342,0.1,5,4,8,bottom-n,1,8,0.47573599765609775,8,0.019753101968526643,2,32.310098055749364,32.310098055749364,1.0,0.14275664694304827,0.7461317768117323,2.046428039839111,0.3646020100811328,2.7427166399260274,4,1
cpop,0,branching,342,0.1,5,4,8,bottom-n,2,0,0.7629098720896891,"8,0",0.2526637309986042,4,32.310098055749364,32.310098055749364,1.0,0.1070995631286015,0.0,2.399989819446966,0.0,inf,4,0
